type;n;algo;threshold;time_ms
random;500;quick;0;0
random;600;quick;0;0
random;700;quick;0;0
random;800;quick;0;0
random;900;quick;0;0
random;1000;quick;0;0
random;1100;quick;0;0
random;1200;quick;0;0
random;1300;quick;0;0
random;1400;quick;0;0
random;1500;quick;0;0
random;1600;quick;0;0
random;1700;quick;0;0
random;1800;quick;0;0
random;1900;quick;0;0
random;2000;quick;0;0
random;2100;quick;0;0
random;2200;quick;0;0
random;2300;quick;0;0
random;2400;quick;0;0
random;2500;quick;0;0
random;2600;quick;0;0
random;2700;quick;0;0
random;2800;quick;0;0
random;2900;quick;0;0
random;3000;quick;0;0
random;3100;quick;0;0
random;3200;quick;0;0
random;3300;quick;0;0
random;3400;quick;0;0
random;3500;quick;0;0
random;3600;quick;0;0
random;3700;quick;0;0
random;3800;quick;0;0
random;3900;quick;0;0
random;4000;quick;0;0
random;4100;quick;0;0
random;4200;quick;0;0
random;4300;quick;0;0
random;4400;quick;0;0
random;4500;quick;0;0
random;4600;quick;0;0
random;4700;quick;0;0
random;4800;quick;0;0
random;4900;quick;0;0
random;5000;quick;0;0
random;5100;quick;0;0
random;5200;quick;0;0
random;5300;quick;0;0
random;5400;quick;0;0
random;5500;quick;0;0
random;5600;quick;0;0
random;5700;quick;0;0
random;5800;quick;0;0
random;5900;quick;0;0
random;6000;quick;0;0
random;6100;quick;0;0
random;6200;quick;0;0
random;6300;quick;0;0
random;6400;quick;0;0
random;6500;quick;0;0
random;6600;quick;0;0
random;6700;quick;0;0
random;6800;quick;0;0
random;6900;quick;0;0
random;7000;quick;0;0
random;7100;quick;0;0
random;7200;quick;0;0
random;7300;quick;0;0
random;7400;quick;0;0
random;7500;quick;0;0
random;7600;quick;0;0
random;7700;quick;0;0
random;7800;quick;0;0
random;7900;quick;0;0
random;8000;quick;0;0
random;8100;quick;0;0
random;8200;quick;0;0
random;8300;quick;0;0
random;8400;quick;0;0
random;8500;quick;0;0
random;8600;quick;0;0
random;8700;quick;0;0
random;8800;quick;0;0
random;8900;quick;0;0
random;9000;quick;0;0
random;9100;quick;0;0
random;9200;quick;0;0
random;9300;quick;0;0
random;9400;quick;0;0
random;9500;quick;0;0
random;9600;quick;0;0
random;9700;quick;0;0
random;9800;quick;0;0
random;9900;quick;0;0
random;10000;quick;0;0
random;10100;quick;0;0
random;10200;quick;0;0
random;10300;quick;0;0
random;10400;quick;0;0
random;10500;quick;0;0
random;10600;quick;0;0
random;10700;quick;0;0
random;10800;quick;0;0
random;10900;quick;0;0
random;11000;quick;0;0
random;11100;quick;0;0
random;11200;quick;0;0
random;11300;quick;0;0
random;11400;quick;0;0
random;11500;quick;0;0
random;11600;quick;0;0
random;11700;quick;0;0
random;11800;quick;0;0
random;11900;quick;0;0
random;12000;quick;0;0
random;12100;quick;0;0
random;12200;quick;0;0
random;12300;quick;0;0
random;12400;quick;0;0
random;12500;quick;0;0
random;12600;quick;0;0
random;12700;quick;0;0
random;12800;quick;0;0
random;12900;quick;0;0
random;13000;quick;0;0
random;13100;quick;0;0
random;13200;quick;0;0
random;13300;quick;0;0
random;13400;quick;0;0
random;13500;quick;0;0
random;13600;quick;0;0
random;13700;quick;0;0
random;13800;quick;0;0
random;13900;quick;0;0
random;14000;quick;0;0
random;14100;quick;0;0
random;14200;quick;0;0
random;14300;quick;0;0
random;14400;quick;0;0
random;14500;quick;0;0
random;14600;quick;0;0
random;14700;quick;0;0
random;14800;quick;0;0
random;14900;quick;0;0
random;15000;quick;0;0
random;15100;quick;0;0
random;15200;quick;0;0
random;15300;quick;0;0
random;15400;quick;0;0
random;15500;quick;0;0
random;15600;quick;0;0
random;15700;quick;0;0
random;15800;quick;0;0
random;15900;quick;0;0
random;16000;quick;0;0
random;16100;quick;0;0
random;16200;quick;0;0
random;16300;quick;0;0
random;16400;quick;0;0
random;16500;quick;0;0
random;16600;quick;0;0
random;16700;quick;0;0
random;16800;quick;0;0
random;16900;quick;0;0
random;17000;quick;0;0
random;17100;quick;0;0
random;17200;quick;0;0
random;17300;quick;0;0
random;17400;quick;0;0
random;17500;quick;0;0
random;17600;quick;0;0
random;17700;quick;0;0
random;17800;quick;0;0
random;17900;quick;0;0
random;18000;quick;0;0
random;18100;quick;0;0
random;18200;quick;0;0
random;18300;quick;0;0
random;18400;quick;0;0
random;18500;quick;0;0
random;18600;quick;0;0
random;18700;quick;0;0
random;18800;quick;0;0
random;18900;quick;0;0
random;19000;quick;0;0
random;19100;quick;0;0
random;19200;quick;0;0
random;19300;quick;0;0
random;19400;quick;0;0
random;19500;quick;0;0
random;19600;quick;0;0
random;19700;quick;0;0
random;19800;quick;0;0
random;19900;quick;0;0
random;20000;quick;0;0
random;20100;quick;0;0
random;20200;quick;0;0
random;20300;quick;0;0
random;20400;quick;0;0
random;20500;quick;0;1
random;20600;quick;0;1
random;20700;quick;0;1
random;20800;quick;0;1
random;20900;quick;0;1
random;21000;quick;0;1
random;21100;quick;0;1
random;21200;quick;0;1
random;21300;quick;0;1
random;21400;quick;0;1
random;21500;quick;0;1
random;21600;quick;0;1
random;21700;quick;0;1
random;21800;quick;0;1
random;21900;quick;0;1
random;22000;quick;0;1
random;22100;quick;0;1
random;22200;quick;0;1
random;22300;quick;0;1
random;22400;quick;0;1
random;22500;quick;0;1
random;22600;quick;0;1
random;22700;quick;0;1
random;22800;quick;0;1
random;22900;quick;0;1
random;23000;quick;0;1
random;23100;quick;0;1
random;23200;quick;0;1
random;23300;quick;0;1
random;23400;quick;0;1
random;23500;quick;0;1
random;23600;quick;0;1
random;23700;quick;0;1
random;23800;quick;0;1
random;23900;quick;0;1
random;24000;quick;0;1
random;24100;quick;0;1
random;24200;quick;0;1
random;24300;quick;0;1
random;24400;quick;0;1
random;24500;quick;0;1
random;24600;quick;0;1
random;24700;quick;0;1
random;24800;quick;0;1
random;24900;quick;0;1
random;25000;quick;0;1
random;25100;quick;0;1
random;25200;quick;0;1
random;25300;quick;0;1
random;25400;quick;0;1
random;25500;quick;0;1
random;25600;quick;0;1
random;25700;quick;0;1
random;25800;quick;0;1
random;25900;quick;0;1
random;26000;quick;0;1
random;26100;quick;0;1
